Testimonials,Erfahrungsberichte
"Read more","Weiterlesen"
"Read less","Weniger zeigen"
"No testimonials found.","No testimonials found."
"Show more testimonials","Mehr Erfahrungsberichte anzeigen"
"View all testimonials","Zeige alle Erfahrungsberichte"
"Submit your testimonial","Senden Sie Ihren Erfahrungsbericht"
"Submit Your Testimonial","Senden Sie Ihren Erfahrungsbericht"
"What Clients Say","Was Kunden sagen"
"No testimonials found.","Keine Erfahrungsberichte gefunden."
"Back to testimonials","Zurück zu den Erfahrungsberichten"
"New Testimonial","Neuer Erfahrungsbericht"
"Profile Image","Profilbild"
"Profile image","Profilbild"
"Store Review","Shop Bewertung"
"Thank you for your testimonial","Vielen Dank für Ihre Bewertung"
